hour,biomasse,wasserkraft,wind_offshore,wind_onshore,photovoltaik,sonstige_erneuerbare,braunkohle,steinkohle,erdgas,pumpspeicher,sonstige_konventionelle
1,1,1,0.8027,0.4448,0,1,1,1,1,1,1
2,1,1,0.7299,0.4634,0,1,1,1,1,1,1
3,1,1,0.6567,0.4846,0,1,1,1,1,1,1
4,1,1,0.6516,0.506,0,1,1,1,1,1,1
5,1,1,0.7285,0.5327,0,1,1,1,1,1,1
6,1,1,0.7984,0.5566,0,1,1,1,1,1,1
7,1,1,0.8477,0.5835,0,1,1,1,1,1,1
8,1,1,0.8794,0.6121,0.0010,1,1,1,1,1,1
9,1,1,0.9012,0.6265,0.0130,1,1,1,1,1,1
10,1,1,0.913,0.6326,0.0400,1,1,1,1,1,1
11,1,1,0.9181,0.6631,0.0700,1,1,1,1,1,1
12,1,1,0.9177,0.6916,0.0870,1,1,1,1,1,1
13,1,1,0.9195,0.6963,0.0880,1,1,1,1,1,1
14,1,1,0.9277,0.662,0.0570,1,1,1,1,1,1
15,1,1,0.9367,0.6236,0.0150,1,1,1,1,1,1
16,1,1,0.9446,0.6265,0,1,1,1,1,1,1
17,1,1,0.9501,0.6478,0,1,1,1,1,1,1
18,1,1,0.9494,0.6636,0,1,1,1,1,1,1
19,1,1,0.9428,0.6842,0,1,1,1,1,1,1
20,1,1,0.9307,0.6987,0,1,1,1,1,1,1
21,1,1,0.9175,0.7126,0,1,1,1,1,1,1
22,1,1,0.9055,0.7339,0,1,1,1,1,1,1
23,1,1,0.9001,0.7645,0,1,1,1,1,1,1
24,1,1,0.9099,0.7962,0,1,1,1,1,1,1
25,1,1,0.9243,0.8208,0,1,1,1,1,1,1
26,1,1,0.9322,0.8381,0,1,1,1,1,1,1
27,1,1,0.9335,0.8461,0,1,1,1,1,1,1
28,1,1,0.94,0.8484,0,1,1,1,1,1,1
29,1,1,0.9571,0.8432,0,1,1,1,1,1,1
30,1,1,0.9646,0.8271,0,1,1,1,1,1,1
31,1,1,0.9674,0.807,0,1,1,1,1,1,1
32,1,1,0.9686,0.7863,0.0030,1,1,1,1,1,1
33,1,1,0.968,0.7686,0.0900,1,1,1,1,1,1
34,1,1,0.9641,0.7455,0.2010,1,1,1,1,1,1
35,1,1,0.9554,0.7151,0.2850,1,1,1,1,1,1
36,1,1,0.9356,0.6813,0.3030,1,1,1,1,1,1
37,1,1,0.8992,0.6539,0.2680,1,1,1,1,1,1
38,1,1,0.862,0.6084,0.1880,1,1,1,1,1,1
39,1,1,0.8473,0.5423,0.0640,1,1,1,1,1,1
40,1,1,0.828,0.496,0,1,1,1,1,1,1
41,1,1,0.8165,0.4545,0,1,1,1,1,1,1
42,1,1,0.7723,0.4214,0,1,1,1,1,1,1
43,1,1,0.6825,0.4024,0,1,1,1,1,1,1
44,1,1,0.5958,0.411,0,1,1,1,1,1,1
45,1,1,0.5601,0.4276,0,1,1,1,1,1,1
46,1,1,0.5414,0.4371,0,1,1,1,1,1,1
47,1,1,0.5276,0.4602,0,1,1,1,1,1,1
48,1,1,0.5431,0.4946,0,1,1,1,1,1,1
49,1,1,0.5969,0.5097,0,1,1,1,1,1,1
50,1,1,0.6452,0.5287,0,1,1,1,1,1,1
51,1,1,0.6993,0.5337,0,1,1,1,1,1,1
52,1,1,0.7571,0.5328,0,1,1,1,1,1,1
53,1,1,0.7951,0.5529,0,1,1,1,1,1,1
54,1,1,0.8303,0.5617,0,1,1,1,1,1,1
55,1,1,0.8536,0.5659,0,1,1,1,1,1,1
56,1,1,0.8553,0.5597,0.0110,1,1,1,1,1,1
57,1,1,0.8315,0.5657,0.0950,1,1,1,1,1,1
58,1,1,0.7853,0.5601,0.1850,1,1,1,1,1,1
59,1,1,0.7535,0.5604,0.2290,1,1,1,1,1,1
60,1,1,0.7487,0.5367,0.2230,1,1,1,1,1,1
61,1,1,0.7596,0.495,0.1780,1,1,1,1,1,1
62,1,1,0.7856,0.4283,0.1100,1,1,1,1,1,1
63,1,1,0.7676,0.409,0.0320,1,1,1,1,1,1
64,1,1,0.7399,0.378,0,1,1,1,1,1,1
65,1,1,0.6648,0.3463,0,1,1,1,1,1,1
66,1,1,0.5843,0.3225,0,1,1,1,1,1,1
67,1,1,0.5871,0.3148,0,1,1,1,1,1,1
68,1,1,0.5828,0.3037,0,1,1,1,1,1,1
69,1,1,0.5493,0.3053,0,1,1,1,1,1,1
70,1,1,0.5188,0.3101,0,1,1,1,1,1,1
71,1,1,0.4756,0.3116,0,1,1,1,1,1,1
72,1,1,0.4511,0.3324,0,1,1,1,1,1,1
73,1,1,0.4681,0.3625,0,1,1,1,1,1,1
74,1,1,0.5204,0.39,0,1,1,1,1,1,1
75,1,1,0.5813,0.4071,0,1,1,1,1,1,1
76,1,1,0.6308,0.4148,0,1,1,1,1,1,1
77,1,1,0.6645,0.4212,0,1,1,1,1,1,1
78,1,1,0.697,0.4307,0,1,1,1,1,1,1
79,1,1,0.7268,0.436,0,1,1,1,1,1,1
80,1,1,0.7441,0.428,0.0010,1,1,1,1,1,1
81,1,1,0.7586,0.3965,0.0180,1,1,1,1,1,1
82,1,1,0.7702,0.3712,0.0360,1,1,1,1,1,1
83,1,1,0.779,0.3572,0.0490,1,1,1,1,1,1
84,1,1,0.7512,0.3265,0.0600,1,1,1,1,1,1
