hour,total_demand
1,38741.173210161665
2,41162.49653579676
3,43583.81986143187
4,46005.14318706697
5,48426.46651270207
6,50847.78983833718
7,58111.75981524249
8,62954.40646651269
9,62954.40646651269
10,58111.75981524249
11,53269.11316397229
12,48426.46651270207
13,43583.81986143187
14,41162.49653579676
15,38741.173210161665
16,33898.52655889145
17,31477.203233256347
18,29055.879907621245
19,29055.879907621245
20,31477.203233256347
21,33898.52655889145
22,38741.173210161665
23,41162.49653579676
24,43583.81986143187
25,48127.89838337182
26,51135.89203233256
27,54143.8856812933
28,57151.87933025403
29,60159.87297921477
30,63167.866628175514
31,72191.84757505773
32,78207.8348729792
33,78207.8348729792
34,72191.84757505773
35,66175.86027713625
36,60159.87297921477
37,54143.8856812933
38,51135.89203233256
39,48127.89838337182
40,42111.91108545034
41,39103.9174364896
42,36095.92378752887
43,36095.92378752887
44,39103.9174364896
45,42111.91108545034
46,48127.89838337182
47,51135.89203233256
48,54143.8856812933
49,49731.15935334873
50,52839.356812933016
51,55947.554272517315
52,59055.751732101606
53,62163.949191685904
54,65272.1466512702
55,74596.73903002309
56,80813.13394919167
57,80813.13394919167
58,74596.73903002309
59,68380.34411085451
60,62163.949191685904
61,55947.554272517315
62,52839.356812933016
63,49731.15935334873
64,43514.764434180135
65,40406.56697459584
66,37298.369515011545
67,37298.369515011545
68,40406.56697459584
69,43514.764434180135
70,49731.15935334873
71,52839.356812933016
72,55947.554272517315
73,50698.6143187067
74,53867.27771362586
75,57035.941108545034
76,60204.604503464194
77,63373.26789838336
78,66541.93129330254
79,76047.92147806005
80,82385.24826789838
81,82385.24826789838
82,76047.92147806005
83,69710.59468822171
84,63373.26789838336
85,57035.941108545034
86,53867.27771362586
87,50698.6143187067
88,44361.28752886836
89,41192.62413394919
90,38023.96073903002
91,38023.96073903002
92,41192.62413394919
93,44361.28752886836
94,50698.6143187067
95,53867.27771362586
96,57035.941108545034
97,50828.443418013856
98,54005.221131639715
99,57181.99884526558
100,60358.77655889144
101,63535.554272517315
102,66712.33198614318
103,76242.66512702078
104,82596.22055427251
105,82596.22055427251
106,76242.66512702078
107,69889.10969976905
108,63535.554272517315
109,57181.99884526558
110,54005.221131639715
111,50828.443418013856
112,44474.887990762116
113,41298.11027713626
114,38121.33256351039
115,38121.33256351039
