hour,total_demand
1,60155.99180327869
2,55859.13524590164
3,51562.27868852459
4,51562.27868852459
5,51562.27868852459
6,47265.42213114755
7,42968.565573770495
8,38671.70901639345
9,34374.852459016394
10,30077.995901639344
11,27929.56762295082
12,25781.139344262294
13,25781.139344262294
14,27929.56762295082
15,30077.995901639344
16,34374.852459016394
17,38671.70901639345
18,42968.565573770495
19,47265.42213114755
20,51562.27868852459
21,55859.13524590164
22,55859.13524590164
23,60155.99180327869
24,60155.99180327869
25,74731.38319672132
26,69393.42725409837
27,64055.47131147541
28,64055.47131147541
29,64055.47131147541
30,58717.51536885247
31,53379.55942622951
32,48041.60348360657
33,42703.647540983606
34,37365.69159836066
35,34696.71362704918
36,32027.735655737706
37,32027.735655737706
38,34696.71362704918
39,37365.69159836066
40,42703.647540983606
41,48041.60348360657
42,53379.55942622951
43,58717.51536885247
44,64055.47131147541
45,69393.42725409837
46,69393.42725409837
47,74731.38319672132
48,74731.38319672132
49,77220.87295081967
50,71705.09631147541
51,66189.31967213114
52,66189.31967213114
53,66189.31967213114
54,60673.543032786896
55,55157.76639344263
56,49641.989754098366
57,44126.2131147541
58,38610.436475409835
59,35852.548155737706
60,33094.65983606557
61,33094.65983606557
62,35852.548155737706
63,38610.436475409835
64,44126.2131147541
65,49641.989754098366
66,55157.76639344263
67,60673.543032786896
68,66189.31967213114
69,71705.09631147541
70,71705.09631147541
71,77220.87295081967
72,77220.87295081967
73,78723.10450819672
74,73100.02561475411
75,67476.94672131147
76,67476.94672131147
77,67476.94672131147
78,61853.86782786887
79,56230.78893442624
80,50607.71004098361
81,44984.63114754099
82,39361.55225409836
83,36550.012807377054
84,33738.473360655735
85,33738.473360655735
86,36550.012807377054
87,39361.55225409836
88,44984.63114754099
89,50607.71004098361
90,56230.78893442624
91,61853.86782786887
92,67476.94672131147
93,73100.02561475411
94,73100.02561475411
95,78723.10450819672
96,78723.10450819672
97,78924.6987704918
98,73287.22028688525
99,67649.74180327868
100,67649.74180327868
101,67649.74180327868
102,62012.26331967214
103,56374.78483606558
104,50737.306352459025
105,45099.82786885246
106,39462.3493852459
107,36643.610143442624
108,33824.87090163934
109,33824.87090163934
110,36643.610143442624
111,39462.3493852459
112,45099.82786885246
113,50737.306352459025
114,56374.78483606558
115,62012.26331967214
116,67649.74180327868
117,73287.22028688525
118,73287.22028688525
119,78924.6987704918
120,78924.6987704918
121,76701.73975409837
122,71223.04405737706
123,65744.34836065574
124,65744.34836065574
125,65744.34836065574
126,60265.65266393444
127,54786.95696721312
128,49308.261270491814
129,43829.565573770495
130,38350.86987704918
131,35611.52202868853
132,32872.17418032787
133,32872.17418032787
134,35611.52202868853
135,38350.86987704918
136,43829.565573770495
137,49308.261270491814
138,54786.95696721312
139,60265.65266393444
140,65744.34836065574
