hour,biomasse,wasserkraft,wind_offshore,wind_onshore,photovoltaik,sonstige_erneuerbare,braunkohle,steinkohle,erdgas,pumpspeicher,sonstige_konventionelle,EV_charge,EV_discharge,EV_storage,DSM_up,DSM_down
1,0.0,0.0,0.0,0.0,35894.70286051418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,5000.0,0.0,6816.7069588748345
2,0.0,0.0,0.0,0.0,34746.274581825775,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,6816.706958874951
3,0.0,0.0,0.0,0.0,25539.217213114753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,241.92213114754122,0.0
4,0.0,0.0,0.0,0.0,25310.150606415817,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,470.9887378464773,0.0
5,0.0,0.0,0.0,0.0,24810.150606415933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,970.9887378463609,0.0
6,0.0,0.0,0.0,0.0,8051.0215163934445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,15581.689549180333,0.0
7,0.0,0.0,0.0,0.0,18768.549171989594,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,2715.733614895653,0.0
8,0.0,0.0,0.0,0.0,16620.120893301188,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,2715.7336148955364,0.0
9,0.0,0.0,0.0,0.0,3774.164959016405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,13413.261270491796,0.0
10,0.0,0.0,0.0,0.0,32923.346311475405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,17884.34836065573
11,0.0,0.0,0.0,0.0,11944.818639202811,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,2019.9651722726012,0.0
12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,12890.569672131147,0.0
13,0.0,0.0,0.0,0.0,30077.995901639344,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,17187.426229508197
14,0.0,0.0,0.0,0.0,32584.495560109295,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,18619.711748633883
15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,15038.997950819674,0.0
16,0.0,0.0,0.0,0.0,16724.853475268268,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,462.5727542399327,0.0
17,0.0,0.0,0.0,0.0,18873.281753956915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,462.572754239809,0.0
18,0.0,0.0,0.0,0.0,4936.952868852455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,16547.329918032792,0.0
19,0.0,0.0,0.0,0.0,32618.29515701119,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,8985.584091437413
20,0.0,0.0,0.0,0.0,49252.124316939895,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,23470.984972677605
21,0.0,0.0,0.0,0.0,11680.424180327864,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,16249.14344262296,0.0
22,0.0,0.0,0.0,0.0,34746.27458182566,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,6816.7069588748345
23,0.0,0.0,0.0,0.0,35894.7028605143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,3888.8888888888887,0.0,6816.706958874951
24,0.0,0.0,28836.073770491806,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,2777.7777777777774,241.92213114754122,0.0
25,0.0,0.0,0.0,0.0,35894.70286051418,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,1666.6666666666663,470.9887378464773,0.0
26,0.0,0.0,0.0,0.0,33725.72488920283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,970.9887378463609,0.0
27,0.0,0.0,0.0,0.0,16446.046106557373,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,15581.689549180333,0.0
28,0.0,0.0,0.0,0.0,29312.002040842053,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,2715.733614895653,0.0
29,0.0,0.0,0.0,0.0,29312.00204084217,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,2715.7336148955364,0.0
30,0.0,0.0,0.0,0.0,15945.496413934445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,13413.261270491796,0.0
31,0.0,0.0,0.0,0.0,44574.12807377049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,0.0,17884.34836065573
32,0.0,0.0,0.0,0.0,22000.836569530686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,2019.9651722725976,0.0
33,0.0,0.0,0.0,0.0,8461.254098360656,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555552,12890.56967213115,0.0
