hour,biomasse,wasserkraft,wind_offshore,wind_onshore,photovoltaik,sonstige_erneuerbare,braunkohle,steinkohle,erdgas,pumpspeicher,sonstige_konventionelle,EV_charge,EV_discharge,EV_storage,DSM_up,DSM_down
1,0.0,0.0,0.0,24147.496191191978,9998.43685024817,0.0,0.0,0.0,0.0,6586.640615602395,0.0,0.0,1000.0,5000.0,0.0,2759.3236570425433
2,0.0,0.0,0.0,17238.361545750715,19825.797673898192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,505.5907803510927,0.0
3,0.0,0.0,0.0,2032.1163974017581,29313.93360259824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,5156.450000000001,0.0
4,0.0,0.0,0.0,443.25,38300.49999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,2177.7499999999927
5,0.0,0.0,0.0,0.0,35115.736149385346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,1367.763850614654,0.0
6,0.0,0.0,0.0,0.0,28416.336545670732,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,8367.913454329268,0.0
7,0.0,0.0,0.0,0.0,38018.82365704254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,823.5736570425433
8,0.0,0.0,0.0,0.0,37740.236149385346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,1372.513850614654,0.0
9,0.0,0.0,0.0,0.0,33504.58654567073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,9222.163454329268,0.0
10,0.0,0.0,0.0,0.0,45662.57365704254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,532.4263429574567,0.0
11,0.0,0.0,0.0,0.0,50170.48422349701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,1823.4842234970129
12,0.0,0.0,0.0,0.0,45100.83654567073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,4932.663454329268,0.0
13,0.0,0.0,0.0,0.0,52882.36257959491,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,3055.862579594912
14,0.0,0.0,0.0,0.0,50288.486149385346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3888.8888888888887,0.0,1798.236149385346
15,0.0,0.0,0.0,0.0,41616.49368060811,0.0,0.0,0.0,0.0,0.0,0.0,234.56790123456813,0.0,3888.8888888888887,5327.324220626451,0.0
16,0.0,0.0,0.0,0.0,49525.22117188269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4100.0,0.0,3457.2211718826875
17,0.0,0.0,0.0,0.0,50976.486149385346,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,4100.0,0.0,4290.486149385346
18,0.0,0.0,0.0,0.0,54045.83654567073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,7015.586545670732
19,0.0,0.0,0.0,5168.486948385661,46631.73422349703,0.0,0.0,0.0,0.0,1779.1414077122245,0.0,0.0,0.0,5000.0,0.0,5363.862579594912
20,0.0,0.0,1298.7556742395147,2777.230475145838,38300.49999999999,0.0,0.0,0.0,0.0,9449.0,0.0,0.0,500.00000000000006,5000.0,0.0,4525.986149385346
21,0.0,4737.011676951545,1836.2820233146213,1026.70924280632,29313.933602598252,0.0,0.0,0.0,0.0,9449.0,0.0,0.0,1000.0,4444.444444444444,306.56345432926173,0.0
22,0.0,5112.0,2536.7999999999984,5984.0999999999885,19825.79767389821,0.0,5360.125983144346,0.0,0.0,9449.0,0.0,0.0,1000.0,3333.333333333333,0.0,2759.3236570425433
23,0.0,5112.0,3352.570461845231,11757.103808808002,9998.436850248203,0.0,3867.798098747473,0.0,0.0,9449.0,0.0,0.0,1000.0,2222.222222222222,505.5907803510927,0.0
24,0.0,5112.0,4228.0,17952.3,-0.0,0.0,0.0,0.0,0.0,9449.0,0.0,0.0,1000.0,1111.111111111111,5156.450000000001,0.0
25,0.0,0.0,64.81695855984435,24147.496191191978,9998.43685024817,0.0,0.0,0.0,0.0,9449.0,0.0,0.0,-0.0,0.0,0.0,2177.7499999999927
26,0.0,0.0,0.0,18830.938475487153,19825.797673898192,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,1367.763850614654,0.0
27,0.0,0.0,0.0,1532.4029430724913,29313.93360259824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,8367.913454329268,0.0
28,0.0,0.0,0.0,1875.0736570425506,38300.49999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,823.5736570425433
29,0.0,0.0,0.0,0.0,39044.736149385346,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.513850614654,0.0
30,0.0,0.0,0.0,0.0,35182.58654567073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,9222.163454329268,0.0
31,0.0,0.0,0.0,0.0,50876.82365704254,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,532.4263429574567,0.0
32,0.0,0.0,0.0,0.0,57708.23422349701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1823.4842234970129
33,0.0,0.0,0.0,0.0,55493.14210122629,0.0,0.0,0.0,0.0,0.0,0.0,555.5555555555555,0.0,-0.0,4932.663454329268,0.0
34,0.0,0.0,0.0,0.0,65750.11257959492,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,500.0,0.0,3055.862579594912
35,0.0,0.0,0.0,0.0,66303.23614938534,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,1400.0,0.0,1798.236149385346
36,0.0,0.0,0.0,0.0,60160.675779373545,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,2300.0,5327.324220626451,0.0
37,0.0,0.0,0.0,0.0,67320.72117188269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3200.0,0.0,3457.2211718826875
38,0.0,0.0,0.0,0.0,68844.23614938534,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,3200.0,0.0,4290.486149385346
39,0.0,0.0,0.0,0.0,69496.08654567073,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,4100.0,0.0,7015.586545670732
40,0.0,0.0,0.0,578.2006243031356,66338.41195529178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,5363.862579594912
41,0.0,0.0,0.0,3884.3269297364386,60771.65921964891,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,0.0,4525.986149385346
42,0.0,0.0,0.0,5984.100000000002,54165.08654567073,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5000.0,306.56345432926173,0.0
43,0.0,0.0,960.8524851598546,5168.486948385661,46631.73422349703,0.0,0.0,0.0,0.0,9449.0,0.0,-0.0,0.0,5000.0,0.0,2759.3236570425433
44,0.0,5112.0,1298.7556742395147,2777.230475145838,38300.49999999999,0.0,0.0,0.0,0.0,9449.0,0.0,0.0,813.9230702635614,5000.0,505.5907803510927,0.0
45,0.0,5112.0,1836.2820233146213,1026.70924280632,29313.933602598252,0.0,5133.875131280809,0.0,0.0,9449.0,0.0,0.0,1000.0,4095.6410330404874,5156.450000000001,0.0
46,0.0,5112.0,2536.7999999999984,5984.0999999999885,19825.79767389821,0.0,13312.052326101795,0.0,0.0,9449.0,0.0,0.0,1000.0,2984.5299219293765,0.0,2177.7499999999927
47,0.0,5112.0,3352.570461845231,11757.103808808002,9998.436850248203,0.0,9098.125028483912,0.0,0.0,9449.0,0.0,0.0,1000.0,1873.4188108182655,1367.763850614654,0.0
48,0.0,5112.0,4228.0,17952.3,-0.0,0.0,1970.4596159342946,0.0,0.0,9449.0,0.0,0.0,686.076929736439,762.3076997071544,8367.913454329268,0.0
49,0.0,0.0,3374.890615602395,24147.496191191978,9998.43685024817,0.0,0.0,0.0,0.0,9449.0,0.0,-0.0,0.0,0.0,0.0,823.5736570425433
50,0.0,0.0,0.0,23288.688475487153,19825.797673898192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1372.513850614654,0.0
51,0.0,0.0,0.0,4959.652943072491,29313.93360259824,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,9222.163454329268,0.0
52,0.0,0.0,0.0,4493.573657042551,38300.49999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,532.4263429574567,0.0
53,0.0,0.0,0.0,0.0,46631.73422349701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,1823.4842234970129
54,0.0,0.0,0.0,0.0,44132.83654567073,0.0,0.0,0.0,0.0,0.0,0.0,1000.0,0.0,-0.0,4932.663454329268,0.0
