hour,wind,solar,coal,gas,DSM_up,DSM_down
1,6000.0,-0.0,0.0,1755.3100203833665,242.48501100037174,0.0
2,6400.0,-0.0,0.0,826.4541366639887,351.49326198337803,0.0
3,6799.999999999999,-0.0,0.0,1708.8286139486172,0.0,886.9404115064171
4,7200.0,-0.0,0.0,1652.0410604127756,0.0,839.5084762325478
5,7600.0,-0.0,0.0,0.0,260.9596639825195,0.0
6,6000.0,-0.0,122.29696820070058,4000.0,312.87093937738064,0.0
7,6400.0,4985.261936998848,0.0,0.0,558.640011395315,0.0
8,6799.999999999999,3119.6285343188692,0.0,0.0,242.48501100037174,0.0
9,7200.0,5075.808555414893,0.0,0.0,351.49326198337803,0.0
10,7600.0,3959.5134977938324,0.0,0.0,0.0,886.9404115064171
11,6000.0,4828.249976399151,0.0,0.0,0.0,839.5084762325478
12,6400.0,6400.0,3691.3751080623642,0.0,260.9596639825195,0.0
13,6799.999999999999,6400.0,2324.625350310913,0.0,312.87093937738064,0.0
14,7200.0,6400.0,1322.5424400536958,0.0,558.640011395315,0.0
15,7600.0,6400.0,547.9974845800316,0.0,242.48501100037174,0.0
16,6000.0,6400.0,3906.7321067072044,0.0,351.49326198337803,0.0
17,6400.0,6400.0,3810.8657056550255,0.0,0.0,886.9404115064171
18,6799.999999999999,5422.451037056036,0.0,0.0,0.0,839.5084762325478
19,7200.0,5161.504210630437,0.0,0.0,260.9596639825195,0.0
20,7600.0,-0.0,1310.6774570595371,4000.0,312.87093937738064,0.0
21,6000.0,-0.0,2464.0092661479957,4000.0,558.640011395315,0.0
22,6400.0,-0.0,170.88202228727278,4000.0,242.48501100037174,0.0
23,6799.999999999999,-0.0,703.2862161348485,4000.0,351.49326198337803,0.0
24,7200.0,-0.0,0.0,1189.557449687234,0.0,886.9404115064171
25,7600.0,-0.0,0.0,944.2177385242339,0.0,839.5084762325478
26,6000.0,-0.0,0.0,1871.1658799822799,260.9596639825195,0.0
27,6400.0,-0.0,0.0,744.890226966485,312.87093937738064,0.0
28,6799.999999999999,-0.0,0.0,645.5048258903043,558.640011395315,0.0
29,7200.0,-0.0,0.0,390.209737429529,242.48501100037174,0.0
30,7600.0,-0.0,176.36864939778206,4000.0,351.49326198337803,0.0
31,6000.0,6400.0,0.0,960.8666382399551,0.0,886.9404115064171
